Animal,Parmfile,HR,Probe HR,FAR,Number of Probe Targets,Number of Targets,Number of References,Probe DI (%),DI (%),Probe RT (s),Difficulty,zprobeHR,zHR,zFAR,d prime,probe d prime,Criterion
Beartooth,BRT034f10_a_PTD.m,0.98,0.91,0.16,11,55,77,0.87,0.9,0.53,A Pure Tone,1.340755034,2.053748911,-0.994457883,3.048206794,2.335212917,-0.529645514
Beartooth,Beartooth_2018_03_20_PTD_1.m,0.95,0.92,0.26,12,59,98,0.81,0.8,0.35,Easy,1.40507156,1.644853627,-0.643345405,2.288199032,2.048416966,-0.500754111
Beartooth,Beartooth_2018_03_20_PTD_3.m,0.53,0.45,0.07,11,51,56,0.71,0.71,0.65,A Pure Tone,-0.125661347,0.075269862,-1.475791028,1.55106089,1.350129681,0.700260583
Beartooth,Beartooth_2018_03_21_PTD_1.m,0.94,0.92,0.36,12,62,130,0.8,0.77,0.18,Easy,1.40507156,1.554773595,-0.358458793,1.913232388,1.763530354,-0.598157401
Beartooth,Beartooth_2018_03_21_PTD_2.m,0.85,0.88,0.32,8,39,68,0.78,0.78,0.27,Hard,1.174986792,1.036433389,-0.467698799,1.504132189,1.642685591,-0.284367295
Beartooth,Beartooth_2018_03_21_PTD_3.m,0.87,0.8,0.22,10,47,65,0.81,0.82,0.22,A Pure Tone,0.841621234,1.126391129,-0.772193214,1.898584343,1.613814448,-0.177098957
Beartooth,Beartooth_2018_06_26_PTD_4.m,0.96,0.83,0.33,3,13,33,0.79,0.8,0.41,A Pure Tone,0.954165253,1.750686071,-0.439913166,2.190599237,1.394078419,-0.655386453
Beartooth,Beartooth_2018_06_26_PTD_5.m,0.95,0.95,0.35,10,43,81,0.85,0.74,0.28,Easy,1.644853627,1.644853627,-0.385320466,2.030174093,2.030174093,-0.62976658
Beartooth,Beartooth_2018_06_26_PTD_6.m,0.49,0.5,0.24,10,43,63,0.54,0.6,0.62,Hard,0,-0.025068908,-0.706302563,0.681233655,0.706302563,0.365685736
Beartooth,Beartooth_2018_07_03_PTD_1.m,0.98,0.9,0.23,10,47,82,0.83,0.87,0.2,A Pure Tone,1.281551566,2.053748911,-0.738846849,2.79259576,2.020398415,-0.657451031
Beartooth,Beartooth_2018_07_03_PTD_2.m,0.96,0.9,0.14,10,50,63,0.89,0.92,0.33,Easy,1.281551566,1.750686071,-1.080319341,2.831005412,2.361870906,-0.335183365
Beartooth,Beartooth_2018_07_03_PTD_5.m,0.54,0.64,0.17,11,52,70,0.67,0.65,0.64,Hard,0.358458793,0.100433721,-0.954165253,1.054598974,1.312624046,0.426865766
Beartooth,Beartooth_2018_07_04_PTD_4.m,0.98,0.95,0.26,10,49,85,0.83,0.81,0.29,Easy,1.644853627,2.053748911,-0.643345405,2.697094316,2.288199032,-0.705201753
Beartooth,Beartooth_2018_07_04_PTD_6.m,0.8,0.95,0.15,10,49,75,0.91,0.79,0.43,Hard,1.644853627,0.841621234,-1.036433389,1.878054623,2.681287016,0.097406078
Beartooth,Beartooth_2018_07_04_PTD_7.m,0.58,0.67,0.16,12,60,74,0.69,0.68,0.6,A Pure Tone,0.439913166,0.201893479,-0.994457883,1.196351362,1.434371049,0.396282202
Beartooth,Beartooth_2018_07_05_PTD_1.m,0.98,0.95,0.43,10,47,106,0.86,0.78,0.2,Easy,1.644853627,2.053748911,-0.176374165,2.230123075,1.821227792,-0.938687373
Beartooth,Beartooth_2018_07_05_PTD_2.m,0.99,0.95,0.41,10,49,134,0.85,0.86,0.26,A Pure Tone,1.644853627,2.326347874,-0.227544977,2.553892851,1.872398604,-1.049401449
Beartooth,Beartooth_2018_07_05_PTD_4.m,0.8,0.9,0.32,10,51,81,0.77,0.72,0.42,Hard,1.281551566,0.841621234,-0.467698799,1.309320033,1.749250365,-0.186961217
Beartooth,Beartooth_2018_07_06_PTD_3.m,0.91,0.9,0.27,10,45,91,0.78,0.8,0.31,Hard,1.281551566,1.340755034,-0.612812991,1.953568025,1.894364557,-0.363971021
Beartooth,Beartooth_2018_07_06_PTD_4.m,0.99,0.95,0.23,10,46,80,0.93,0.9,0.27,Easy,1.644853627,2.326347874,-0.738846849,3.065194723,2.383700476,-0.793750512
Beartooth,Beartooth_2018_07_06_PTD_5.m,0.99,0.95,0.24,10,49,84,0.88,0.89,0.44,A Pure Tone,1.644853627,2.326347874,-0.706302563,3.032650437,2.35115619,-0.810022656
Beartooth,BRT036b05_a_PTD.m,0.88,0.92,0.3,12,60,97,0.78,0.76,0.29,Easy,1.40507156,1.174986792,-0.524400513,1.699387305,1.929472073,-0.32529314
Beartooth,BRT036b07_a_PTD.m,0.83,0.92,0.16,12,65,76,0.85,0.84,0.38,Hard,1.40507156,0.954165253,-0.994457883,1.948623136,2.399529444,0.020146315
Beartooth,BRT036b10_a_PTD.m,0.72,0.75,0.14,12,61,76,0.75,0.74,0.67,A Pure Tone,0.67448975,0.582841507,-1.080319341,1.663160848,1.754809091,0.248738917
Beartooth,Beartooth_2018_07_10_PTD_1.m,0.41,0.4,0.2,10,46,50,0.62,0.6,0.26,A Pure Tone,-0.253347103,-0.227544977,-0.841621234,0.614076257,0.58827413,0.534583105
Beartooth,Beartooth_2018_07_10_PTD_2.m,0.84,0.8,0.36,10,50,97,0.7,0.67,0.17,Easy,0.841621234,0.994457883,-0.358458793,1.352916676,1.200080027,-0.317999545
Beartooth,Beartooth_2018_07_10_PTD_3.m,0.81,0.9,0.25,10,47,84,0.78,0.75,0.4,Hard,1.281551566,0.877896295,-0.67448975,1.552386045,1.956041316,-0.101703272
Beartooth,BRT037b04_a_PTD.m,0.89,0.83,0.31,12,61,95,0.79,0.8,0.2,A Pure Tone,0.954165253,1.22652812,-0.495850347,1.722378467,1.4500156,-0.365338886
Beartooth,BRT037b06_a_PTD.m,0.75,0.73,0.21,11,51,92,0.78,0.76,0.25,Easy,0.612812991,0.67448975,-0.806421247,1.480910997,1.419234238,0.065965748
Beartooth,BRT037b08_a_PTD.m,0.64,0.5,0.2,6,25,45,0.59,0.72,0.34,Hard,0,0.358458793,-0.841621234,1.200080027,0.841621234,0.24158122
Beartooth,Beartooth_2018_07_16_PTD_2.m,0.81,0.78,0.39,9,43,95,0.7,0.67,0.41,Easy,0.772193214,0.877896295,-0.279319034,1.157215329,1.051512249,-0.29928863
Beartooth,Beartooth_2018_07_16_PTD_3.m,0.75,0.8,0.26,10,48,87,0.72,0.72,0.44,Hard,0.841621234,0.67448975,-0.643345405,1.317835156,1.484966639,-0.015572172
Beartooth,Beartooth_2018_07_16_PTD_5.m,0.38,0.11,0.13,9,47,79,0.43,0.54,0.35,A Pure Tone,-1.22652812,-0.305480788,-1.126391129,0.820910341,-0.100136991,0.715935959
Beartooth,Beartooth_2018_07_17_PTD_1.m,0.86,0.95,0.44,10,50,164,0.85,0.74,0.2,Hard,1.644853627,1.080319341,-0.150969215,1.231288556,1.795822842,-0.464675063
Beartooth,Beartooth_2018_07_17_PTD_2.m,0.48,0.5,0.19,10,50,70,0.59,0.59,0.55,A Pure Tone,0,-0.050153583,-0.877896295,0.827742712,0.877896295,0.464024939
Beartooth,Beartooth_2018_07_17_PTD_3.m,0.26,0.2,0.22,10,47,64,0.4,0.47,0.66,Easy,-0.841621234,-0.643345405,-0.772193214,0.128847809,-0.069428019,0.70776931
Beartooth,BRT038b08_a_PTD.m,0.6,0.53,0.24,17,88,135,0.61,0.6,0.25,Easy,0.075269862,0.253347103,-0.706302563,0.959649666,0.781572425,0.22647773
Beartooth,BRT038b10_a_PTD.m,0.46,0.45,0.12,22,109,168,0.62,0.69,0.5,Hard,-0.125661347,-0.100433721,-1.174986792,1.074553072,1.049325445,0.637710256
Beartooth,BRT039c04_a_PTD.m,0.98,0.95,0.47,11,54,184,0.82,0.78,0.2,Hard,1.644853627,2.053748911,-0.075269862,2.129018773,1.720123489,-0.989239524
Beartooth,BRT039c06_a_PTD.m,0.98,0.95,0.32,11,55,102,0.81,0.78,0.34,Easy,1.644853627,2.053748911,-0.467698799,2.52144771,2.112552426,-0.793025056
Beartooth,BRT039c08_a_PTD.m,0.72,0.6,0.24,15,75,110,0.62,0.68,0.56,A Pure Tone,0.253347103,0.582841507,-0.706302563,1.28914407,0.959649666,0.061730528
Beartooth,Beartooth_2018_07_23_PTD_2.m,0.52,0.68,0.15,19,104,123,0.74,0.68,0.38,Hard,0.467698799,0.050153583,-1.036433389,1.086586973,1.504132189,0.493139903
Beartooth,Beartooth_2018_07_23_PTD_3.m,0.5,0.58,0.2,12,66,83,0.64,0.62,0.49,Easy,0.201893479,0,-0.841621234,0.841621234,1.043514713,0.420810617
Beartooth,Beartooth_2018_07_23_PTD_4.m,0.82,0.5,0.18,2,11,17,0.56,0.71,0.77,A Pure Tone,0,0.915365088,-0.915365088,1.830730176,0.915365088,1.22125E-15
Beartooth,Beartooth_2018_07_24_PTD_1.m,0.74,0.73,0.32,15,74,114,0.66,0.66,0.3,A Pure Tone,0.612812991,0.643345405,-0.467698799,1.111044205,1.08051179,-0.087823303
Beartooth,Beartooth_2018_07_24_PTD_2.m,0.65,0.65,0.27,17,86,124,0.65,0.67,0.28,Hard,0.385320466,0.385320466,-0.612812991,0.998133457,0.998133457,0.113746262
Beartooth,Beartooth_2018_07_24_PTD_3.m,0.66,0.54,0.15,13,62,86,0.61,0.65,0.58,Easy,0.100433721,0.412463129,-1.036433389,1.448896519,1.13686711,0.31198513
Beartooth,BRT040c08_a_PTD.m,0.84,0.85,0.3,13,63,123,0.73,0.71,0.27,Easy,1.036433389,0.994457883,-0.524400513,1.518858396,1.560833902,-0.235028685
Beartooth,BRT040c10_a_PTD.m,0.56,0.55,0.29,20,97,212,0.58,0.6,0.37,Hard,0.125661347,0.150969215,-0.55338472,0.704353935,0.679046066,0.201207752
Beartooth,BRT041d04_a_PTD.m,0.94,0.5,0.32,1,8,19,0.68,0.84,1.14,Easy,0,1.554773595,-0.467698799,2.022472394,0.467698799,-0.543537398
Beartooth,Beartooth_2018_07_31_PTD_1.m,0.93,0.88,0.28,4,28,50,0.9,0.78,0.26,Easy,1.174986792,1.475791028,-0.582841507,2.058632535,1.757828299,-0.44647476
Beartooth,Beartooth_2018_07_31_PTD_2.m,0.87,0.86,0.31,7,38,65,0.75,0.75,0.37,A Pure Tone,1.080319341,1.126391129,-0.495850347,1.622241476,1.576169688,-0.315270391
Beartooth,Beartooth_2018_08_01_PTD_2.m,0.96,0.95,0.29,10,49,70,0.82,0.81,0.53,A Pure Tone,1.644853627,1.750686071,-0.55338472,2.304070791,2.198238347,-0.598650676
Beartooth,Beartooth_2018_08_01_PTD_3.m,0.98,0.92,0.53,6,29,104,0.81,0.78,0.16,Hard,1.40507156,2.053748911,0.075269862,1.978479049,1.329801698,-1.064509386
Beartooth,Beartooth_2018_08_01_PTD_4.m,0.99,0.94,0.49,9,43,164,0.83,0.83,0.17,Easy,1.554773595,2.326347874,-0.025068908,2.351416782,1.579842503,-1.150639483
Beartooth,Beartooth_2018_08_02_PTD_1.m,0.89,0.92,0.27,12,61,107,0.83,0.71,0.28,Easy,1.40507156,1.22652812,-0.612812991,1.839341111,2.017884551,-0.306857565
Beartooth,Beartooth_2018_08_02_PTD_2.m,0.49,0.42,0.18,12,55,71,0.59,0.7,0.67,Hard,-0.201893479,-0.025068908,-0.915365088,0.89029618,0.713471609,0.470216998
Beartooth,Beartooth_2018_08_02_PTD_3.m,0.69,0.67,0.17,9,48,63,0.68,0.71,0.78,A Pure Tone,0.439913166,0.495850347,-0.954165253,1.4500156,1.394078419,0.229157453
Beartooth,Beartooth_2018_08_06_PTD_1.m,0.98,0.91,0.26,11,55,96,0.76,0.78,0.65,A Pure Tone,1.340755034,2.053748911,-0.643345405,2.697094316,1.984100439,-0.705201753
Beartooth,Beartooth_2018_08_06_PTD_2.m,0.95,0.96,0.36,12,56,123,0.84,0.8,0.2,Hard,1.750686071,1.644853627,-0.358458793,2.00331242,2.109144865,-0.643197417
Beartooth,Beartooth_2018_08_06_PTD_3.m,0.93,0.88,0.29,16,76,138,0.79,0.82,0.32,Easy,1.174986792,1.475791028,-0.55338472,2.029175748,1.728371512,-0.461203154
Beartooth,Beartooth_2018_08_07_PTD_1.m,0.59,0.43,0.11,14,69,72,0.61,0.67,0.6,A Pure Tone,-0.176374165,0.227544977,-1.22652812,1.454073097,1.050153955,0.499491572
Beartooth,BRT044h05_a_PTD.m,0.6,0.44,0.22,18,88,110,0.58,0.64,0.52,A Pure Tone,-0.150969215,0.253347103,-0.772193214,1.025540317,0.621223999,0.259423056
Beartooth,BRT044h07_a_PTD.m,0.69,0.73,0.26,15,77,143,0.71,0.65,0.47,Easy,0.612812991,0.495850347,-0.643345405,1.139195753,1.256158396,0.073747529
Beartooth,Beartooth_2018_08_16_PTD_1.m,0.74,0.9,0.27,5,31,56,0.79,0.72,0.57,A Pure Tone,1.281551566,0.643345405,-0.612812991,1.256158396,1.894364557,-0.015266207
Beartooth,Beartooth_2018_08_17_PTD_1.m,0.44,0.2,0.26,5,27,43,0.37,0.54,0.29,Hard,-0.841621234,-0.150969215,-0.643345405,0.49237619,-0.198275828,0.39715731
Beartooth,BRT049h06_a_PTD.m,0.5,0.64,0.22,22,110,129,0.69,0.6,0.45,Easy,0.358458793,0,-0.772193214,0.772193214,1.130652007,0.386096607
Beartooth,BRT049h08_a_PTD.m,0.32,0.3,0.12,33,165,188,0.55,0.58,0.69,Hard,-0.524400513,-0.467698799,-1.174986792,0.707287993,0.650586279,0.821342796
Beartooth,BRT050d08_a_PTD.m,0.96,0.96,0.28,12,56,106,0.88,0.87,0.21,A Pure Tone,1.750686071,1.750686071,-0.582841507,2.333527579,2.333527579,-0.583922282
Beartooth,BRT050d10_a_PTD.m,0.86,0.92,0.22,13,64,111,0.84,0.73,0.27,Easy,1.40507156,1.080319341,-0.772193214,1.852512555,2.177264774,-0.154063063
Beartooth,BRT050d11_a_PTD.m,0.68,0.96,0.14,14,68,76,0.93,0.79,0.56,Hard,1.750686071,0.467698799,-1.080319341,1.54801814,2.831005412,0.306310271
Tartufo,Tartufo_2016_10_31_PTD_13.m,0.56,0.56,0.12,41,41,42,0.65,0.65,0.5,A Pure Tone,0.150969215,0.150969215,-1.174986792,1.325956008,1.325956008,0.512008788
Tartufo,Tartufo_2016_11_03_PTD_6.m,0.96,0.96,0.15,55,55,59,0.88,0.88,0.3,A Pure Tone,1.750686071,1.750686071,-1.036433389,2.787119461,2.787119461,-0.357126341
Tartufo,Tartufo_2016_11_07_PTD_6.m,0.87,0.87,0.34,53,53,90,0.79,0.79,0.21,A Pure Tone,1.126391129,1.126391129,-0.412463129,1.538854258,1.538854258,-0.356964
Tartufo,Tartufo_2016_11_07_PTD_7.m,0.81,0.81,0.39,31,31,61,0.75,0.75,0.27,A Pure Tone,0.877896295,0.877896295,-0.279319034,1.157215329,1.157215329,-0.29928863
Tartufo,Tartufo_2016_11_08_PTD_7.m,0.63,0.63,0.14,41,41,42,0.7,0.7,0.32,A Pure Tone,0.331853346,0.331853346,-1.080319341,1.412172687,1.412172687,0.374232997
Tartufo,Tartufo_2017_01_17_PTD_5.m,0.58,0.55,0.18,11,53,73,0.61,0.58,0.27,Easy,0.125661347,0.201893479,-0.915365088,1.117258567,1.041026435,0.356735804
Tartufo,Tartufo_2017_01_18_PTD_2.m,0.83,0.91,0.2,11,53,81,0.87,0.71,0.36,Easy,1.340755034,0.954165253,-0.841621234,1.795786487,2.182376267,-0.05627201
Tartufo,Tartufo_2017_01_18_PTD_3.m,0.62,0.94,0.13,9,39,61,0.95,0.8,0.55,Hard,1.554773595,0.305480788,-1.126391129,1.431871917,2.681164724,0.41045517
Tartufo,Tartufo_2017_01_18_PTD_4.m,0.48,0.5,0.09,12,61,78,0.68,0.57,0.58,Easy,0,-0.050153583,-1.340755034,1.29060145,1.340755034,0.695454309
Tartufo,Tartufo_2017_01_23_PTD_4.m,0.51,0.82,0.07,11,61,80,0.84,0.67,0.4,Easy,0.915365088,0.025068908,-1.475791028,1.500859936,2.391156116,0.72536106
Tartufo,Tartufo_2017_01_23_PTD_5.m,0.3,0.1,0.09,10,46,46,0.43,0.54,0.58,Easy,-1.281551566,-0.524400513,-1.340755034,0.816354521,0.059203468,0.932577773
Tartufo,Tartufo_2017_01_23_PTD_6.m,0.46,0.38,0.14,8,50,69,0.61,0.59,0.57,Easy,-0.305480788,-0.100433721,-1.080319341,0.97988562,0.774838553,0.590376531
Tartufo,Tartufo_2017_01_26_PTD_3.m,0.76,0.8,0.25,10,49,75,0.68,0.63,0.65,Easy,0.841621234,0.706302563,-0.67448975,1.380792313,1.516110984,-0.015906406
Tartufo,Tartufo_2017_01_26_PTD_5.m,0.57,0.55,0.1,11,54,52,0.7,0.61,0.78,Easy,0.125661347,0.176374165,-1.281551566,1.45792573,1.407212912,0.5525887
Tartufo,Tartufo_2017_01_26_PTD_6.m,0.32,0.57,0.06,7,34,32,0.7,0.64,0.78,Hard,0.176374165,-0.467698799,-1.554773595,1.087074795,1.731147759,1.011236197
Tartufo,Tartufo_2017_01_27_PTD_3.m,0.57,0.8,0.22,10,47,69,0.85,0.74,0.34,Hard,0.841621234,0.176374165,-0.772193214,0.948567379,1.613814448,0.297909525
Tartufo,Tartufo_2017_01_27_PTD_5.m,0.7,0.6,0.21,15,77,101,0.66,0.75,0.46,Hard,0.253347103,0.524400513,-0.806421247,1.33082176,1.05976835,0.141010367
Tartufo,Tartufo_2017_01_30_PTD_5.m,0.69,0.5,0.21,10,49,75,0.68,0.69,0.29,Easy,0,0.495850347,-0.806421247,1.302271594,0.806421247,0.15528545
Tartufo,Tartufo_2017_01_30_PTD_6.m,0.63,0.6,0.12,10,51,68,0.79,0.82,0.64,Hard,0.253347103,0.331853346,-1.174986792,1.506840139,1.428333895,0.421566723
Tartufo,Tartufo_2017_02_02_PTD_4.m,0.57,0.67,0.14,12,54,57,0.71,0.69,0.64,Hard,0.439913166,0.176374165,-1.080319341,1.256693506,1.520232506,0.451972588
Tartufo,Tartufo_2017_02_02_PTD_5.m,0.62,0.44,0.13,9,45,53,0.53,0.67,1.06,Easy,-0.150969215,0.305480788,-1.126391129,1.431871917,0.975421914,0.41045517
Tartufo,Tartufo_2017_02_03_PTD_3.m,0.45,0.69,0.14,13,64,79,0.74,0.64,0.51,Hard,0.495850347,-0.125661347,-1.080319341,0.954657994,1.576169688,0.602990344
Tartufo,Tartufo_2017_02_03_PTD_4.m,0.6,0.8,0.09,10,52,65,0.88,0.65,0.72,Easy,0.841621234,0.253347103,-1.340755034,1.594102137,2.182376267,0.543703965
Tartufo,Tartufo_2017_02_06_PTD_5.m,0.67,0.7,0.16,10,49,49,0.72,0.63,0.43,Easy,0.524400513,0.439913166,-0.994457883,1.434371049,1.518858396,0.277272359
Tartufo,Tartufo_2017_02_07_PTD_2.m,0.96,0.94,0.39,9,45,92,0.82,0.82,0.15,Easy,1.554773595,1.750686071,-0.279319034,2.030005106,1.834092629,-0.735683518
Tartufo,Tartufo_2017_02_07_PTD_3.m,0.98,0.94,0.39,9,48,113,0.91,0.89,0.14,Hard,1.554773595,2.053748911,-0.279319034,2.333067945,1.834092629,-0.887214938
Tartufo,Tartufo_2017_02_07_PTD_4.m,0.98,0.91,0.28,11,57,96,0.77,0.85,0.33,Easy,1.340755034,2.053748911,-0.582841507,2.636590418,1.923596541,-0.735453702
Tartufo,Tartufo_2017_02_07_PTD_5.m,0.57,0.71,0.24,7,30,46,0.78,0.73,0.69,Hard,0.55338472,0.176374165,-0.706302563,0.882676728,1.259687282,0.264964199
Tartufo,Tartufo_2017_02_08_PTD_2.m,0.95,0.9,0.29,5,22,41,0.9,0.87,0.16,Easy,1.281551566,1.644853627,-0.55338472,2.198238347,1.834936285,-0.545734454
Tartufo,Tartufo_2017_02_08_PTD_3.m,0.88,0.9,0.33,5,25,45,0.8,0.77,0.2,Hard,1.281551566,1.174986792,-0.439913166,1.614899958,1.721464731,-0.367536813
Tartufo,Tartufo_2017_02_08_PTD_4.m,0.88,0.73,0.31,11,56,108,0.7,0.78,0.52,Easy,0.612812991,1.174986792,-0.495850347,1.670837139,1.108663338,-0.339568222
Tartufo,Tartufo_2017_02_08_PTD_5.m,0.55,0.73,0.25,11,53,69,0.71,0.68,0.45,Hard,0.612812991,0.125661347,-0.67448975,0.800151097,1.287302741,0.274414202
